"name","href","系统","剧情","人设","画面","音乐","声优","游戏性","工口","鬼畜","总体评分","对白"
"《梦幻一夜：茱丽雅》","https://bangumi.tv/blog/280762","D-","D-","C","C","C+","C-","D","D+","B-","42",
"《龙恋》","https://bangumi.tv/blog/269497","C","C","B","B","A+","E","D-","B-","D+","60",
"《天使的双枪》","https://bangumi.tv/blog/269459","D+","C-","C-","B","B-","B-","D-","C","B-","52",
"《思影》","https://bangumi.tv/blog/275671","A-","C","B+","A","C+","B","D-","A-","C+","65",
"《太太是惨杀少女》","https://bangumi.tv/blog/269515","E+","B","C-","D-","B-","E+","D","E+","B+","55",
"《钟表装置内的灵脉：朝雾中逝去之花》","https://bangumi.tv/blog/274827","A","B+","A-","A+","B+","B+","D+","C","C-","83",
"《月影的幻影：解放之羽》","https://bangumi.tv/blog/279602","S-","B","B","B+","A","A-","D+","C+","C","80",
"《从朋友到爱人》","https://bangumi.tv/blog/274753","A","B-","A+","A-","B","B+","C-","B-","D","79",
"《日常与非日常的境界线》","https://bangumi.tv/blog/275724","B","A-","B+","B+","A-","A","C-","D","D+","83",
"《2nd love》","https://bangumi.tv/blog/269295","B-","B","C+","C","C-","E","D+","C-","C-","63",
"《枪声与钻石》","https://bangumi.tv/blog/294774","B+","B+","B+","C","B+","E","A-","E+","D-","81",
"《DISCIPLINE》","https://bangumi.tv/blog/269426","C","C","C+","C+","C","B-","D","S-","A+","56",
"《Muv-Luv》","https://bangumi.tv/blog/269428","C+","B-","B-","B-","B","B","D","C+","D","65",
"《IF2：爱之物语》","https://bangumi.tv/blog/273594","E+","D","C-","D+","C-","E","C","D+","C-","42",
"《母宠萌妹》","https://bangumi.tv/blog/295198","C-","E+","C-","B+","C-","C","E+","A+","A","38",
"《妖人》","https://bangumi.tv/blog/275725","B-","A-","B+","B","A-","B","D","B-","B-","78",
"《野外学习》","https://bangumi.tv/blog/270533","D-","D-","C+","C-","C-","C","D+","A-","B-","43",
"《妖盘》","https://bangumi.tv/blog/275756","B-","D+","C+","C+","A-","B-","E","D","C-","51",
